title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
BillyBee Honey Pure Clover 1kg,,,Groceries->Condiments & Sauces->Honey & Syrup,,10.99,,,,,,,GCH001,GCH001.JPG,,taxable,standard-rate
BillyBee Honey Liquid Beehiv 500g,,,Groceries->Condiments & Sauces->Honey & Syrup,,6.49,,,,,,,GCH002,GCH002.JPG,,taxable,standard-rate
BillyBee Honey Liquid Bear 375g,,,Groceries->Condiments & Sauces->Honey & Syrup,,5.49,,,,,,,GCH003,GCH003.JPG,,taxable,standard-rate
BillyBee Honey Liquid White 375g,,,Groceries->Condiments & Sauces->Honey & Syrup,,6.49,,,,,,,GCH004,GCH004.JPG,,taxable,standard-rate
BillyBee Honey Liquid Squeeze 375g,,,Groceries->Condiments & Sauces->Honey & Syrup,,5.49,,,,,,,GCH005,GCH005.JPG,,taxable,standard-rate
BillyBee Honey Liquid 500g,,,Groceries->Condiments & Sauces->Honey & Syrup,,6.49,,,,,,,GCH006,GCH006.JPG,,taxable,standard-rate
Compliments Honey Liquid 500g,,,Groceries->Condiments & Sauces->Honey & Syrup,,4.99,,,,,,,GCH007,GCH007.JPG,,taxable,standard-rate
Compliments Honey Liquid Squeeze 500g,,,Groceries->Condiments & Sauces->Honey & Syrup,,5.29,,,,,,,GCH008,GCH008.JPG,,taxable,standard-rate
Compliments Organic Honey Pure Wildflower 500g,,,Groceries->Condiments & Sauces->Honey & Syrup,,7.99,,,,,,,GCH009,GCH009.JPG,,taxable,standard-rate
Compliments Honey Creamed 1kg,,,Groceries->Condiments & Sauces->Honey & Syrup,,8.99,,,,,,,GCH010,GCH010.JPG,,taxable,standard-rate
Compliments Honey Creamed 500g ,,,Groceries->Condiments & Sauces->Honey & Syrup,,5.49,,,,,,,GCH011,GCH011.JPG,,taxable,standard-rate
BillyBee Honey Creamed 500g,,,Groceries->Condiments & Sauces->Honey & Syrup,,6.49,,,,,,,GCH012,GCH012.JPG,,taxable,standard-rate
Beehive Golden Corn Syrup 500ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,3.49,,,,,,,GCH013,GCH013.JPG,,taxable,standard-rate
Crown Lily White Corn Syrup 500ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,3.29,,,,,,,GCH014,GCH014.JPG,,taxable,standard-rate
Edsmith No Sugar Added Table Syrup 375ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,3.49,,,,,,,GCH015,GCH015.JPG,,taxable,standard-rate
UncleLuk Maple Syrup 250ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,6.99,,,,,,,GCH016,GCH016.JPG,,taxable,standard-rate
Compliments Organic Pure Maple Syrup 375ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,11.99,,,,,,,GCH018,GCH018.JPG,,taxable,standard-rate
Compliments Table Syrup Original 750ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,3.49,,,,,,,GCH019,GCH019.JPG,,taxable,standard-rate
Compliments Table Syrup Butter Flavoured 750ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,3.49,,,,,,,GCH020,GCH020.JPG,,taxable,standard-rate
Aunt Jemima Table Syrup Orginal 750ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,4.39,,,,,,,GCH021,GCH021.JPG,,taxable,standard-rate
Aunt Jemima Light Syrup 750ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,4.39,,,,,,,GCH022,GCH022.JPG,,taxable,standard-rate
Aunt Jemima Syrup Butter 750ml,,,Groceries->Condiments & Sauces->Honey & Syrup,,4.39,,,,,,,GCH023,GCH023.JPG,,taxable,standard-rate
Compliments Syrup Original 2L,,,Groceries->Condiments & Sauces->Honey & Syrup,,5.29,,,,,,,GCH024,GCH024.JPG,,taxable,standard-rate
